type,amount,otherPlayer,player,time
Money Transfer,750000,Neffer,Nefferbank,1574378115
Postage,30,Neffer,Nefferbank,1574378115
Postage,30,Neffbankench,Neffer,1574383636
Postage,120,Neffbankench,Neffer,1574374151
Postage,30,Nefferbank,Neffer,1574448286
Postage,30,Visas,Neffer,1574449084
Money Transfer,150000,Neffer,Neffbankfish,1574468851
Postage,30,Neffer,Neffbankfish,1574468851
Postage,60,Neffbankench,Neffer,1574479064
Postage,60,Nefferbank,Neffer,1574479056
Postage,630,Nefferbank,Confused,1574524256
Repair Bill,529,Merchant,Confused,1574530856
Repair Bill,69,Merchant,Confused,1574532760
Postage,30,Neffbankench,Neffer,1574536589
Postage,90,Neffbankench,Neffer,1574535468
Postage,330,Nefferbank,Confused,1574530892
Repair Bill,226,Merchant,Confused,1574524172
Postage,120,Neffbankherb,Confused,1574545579
Postage,120,Neffbankfish,Neffer,1574557453
Postage,60,Neffbankherb,Neffer,1574557656
Postage,90,Nefferbank,Confused,1574545572
Postage,390,Neffer,Nefferbank,1574595609
Postage,480,Nefferbank,Confused,1574609297
Postage,60,Nefferbank,Neffer,1574618743
Money Transfer,600000,Nervs,Neffer,1574620342
Repair Bill,4016,Merchant,Neffer,1574624359
Postage,390,Nefferbank,Neffer,1574624454
Postage,90,Neffbankench,Nefferbank,1574630557
Postage,30,Neffstorage,Neffer,1574637302
Postage,60,Neffstorage,Nefferbank,1574707639
Postage,30,Nervs,Neffer,1574620342
Repair Bill,11921,Merchant,Neffer,1574618811
Postage,60,Nefferbank,Neffer,1574724064
Postage,30,Neffbankench,Neffer,1574618750
Postage,30,Neffstorage,Neffer,1574618711
Postage,30,Neffstorage,Neffer,1574758428
Postage,30,Neffer,Nefferbank,1574796112
Money Transfer,2400000,Neffer,Nefferbank,1574796112
Postage,480,Neffbankench,Neffer,1574810078
Postage,150,Nefferbank,Neffer,1574810113
Postage,30,Neffbankench,Neffer,1574810435
Postage,30,Neffer,Neffbankfish,1574813271
Money Transfer,1450000,Neffer,Nefferbank,1574844869
Postage,30,Nefferbank,Neffer,1574893255
Postage,30,Frozbank,Neffer,1574895442
Postage,90,Neffbankench,Neffer,1574895634
Repair Bill,397,Merchant,Confused,1574901468
Postage,60,Neffbankench,Neffer,1574902315
Money Transfer,90000,Frozbank,Neffer,1574978130
Postage,30,Frozbank,Neffer,1574978130
Repair Bill,1627,Merchant,Neffer,1574969435
Postage,30,Neffer,Nefferbank,1574986239
Postage,990,Confused,Neffer,1574987023
Postage,30,Confused,Neffer,1575055892
Postage,330,Confused,Neffstorage,1575068861
Postage,150,Confused,Neffbankherb,1575069023
Postage,60,Neffbankench,Neffer,1575234578
Repair Bill,4558,Merchant,Neffer,1575058236
Postage,420,Neffstorage,Confused,1575235266
Postage,360,Neffbankherb,Confused,1575235222
Money Transfer,350000,Neffer,Nefferbank,1574986239
Postage,30,Nefferbank,Neffer,1575277458
Postage,60,Neffbankench,Neffer,1575277464
Postage,30,Confused,Neffbankherb,1575312553
Postage,30,Neffbankench,Neffer,1575313532
Postage,30,Nefferbank,Neffer,1575313945
Postage,450,Neffbankherb,Neffer,1575324032
Postage,30,Nefferbank,Confused,1575325830
Postage,30,Confused,Neffer,1575324052
Postage,30,Nefferbank,Confused,1575332158
Postage,330,Nefferbank,Confused,1575362762
Postage,180,Neffbankench,Neffer,1575324020
Postage,30,Neffer,Nefferbank,1575398806
Postage,30,Neffbankench,Neffer,1575406622
Postage,30,Confused,Neffer,1575406640
Postage,60,Confused,Nefferbank,1575407422
Postage,30,Confused,Neffer,1575408595
Postage,30,Nefferbank,Neffer,1575406631
Postage,30,Confused,Neffbankherb,1575415719
Postage,30,Confused,Nefferbank,1575416789
Postage,30,Neffer,Nefferbank,1575416864
Postage,30,Neffstorage,Confused,1575420989
Postage,60,Nefferbank,Confused,1575421030
Postage,30,Neffer,Nefferbank,1575485356
Money Transfer,1500000,Neffer,Confused,1575485641
Postage,30,Neffer,Confused,1575485641
Postage,360,Neffbankherb,Neffer,1575493365
Postage,90,Nefferbank,Neffer,1575493392
Money Transfer,25000,Frozbank,Neffer,1575495553
Postage,30,Confused,Neffer,1575496610
Postage,30,Frozbank,Neffer,1575495553
Postage,30,Neffer,Neffbankench,1575502322
Money Transfer,110000,Neffer,Neffbankench,1575502322
Postage,30,Neffbankench,Neffer,1575502843
Repair Bill,75062,Merchant,Neffer,1575581786
Postage,150,Nefferbank,Neffer,1575503834
Postage,30,Confused,Nefferbank,1575585241
Repair Bill,27887,Merchant,Neffer,1575588055
Postage,180,Marnaa,Neffer,1575590571
Postage,30,Neffstorage,Confused,1575593488
Postage,30,Neffstorage,Neffer,1575502847
Postage,30,Neffbankench,Neffer,1575660070
Postage,60,Neffbankherb,Neffer,1575679830
Postage,180,Nefferbank,Neffer,1575679850
Postage,60,Neffbankench,Neffer,1575679839
Repair Bill,2497,Merchant,Neffer,1575679784
Repair Bill,27143,Merchant,Neffer,1575721544
Postage,30,Confused,Neffer,1575502836
Postage,90,Neffbankench,Neffer,1575493378
Postage,60,Neffbankench,Neffer,1575739029
Postage,30,Confused,Neffer,1575739049
Postage,120,Neffstorage,Neffer,1575739063
Postage,120,Confused,Neffbankherb,1575743688
Postage,30,Confused,Neffbankherb,1575746129
Money Transfer,100000,Confused,Nefferbank,1575750033
Postage,30,Confused,Nefferbank,1575750033
Postage,60,Nefferbank,Neffer,1575739039
Postage,60,Confused,Neffer,1575493350
Postage,30,Neffbankherb,Nefferbank,1575754148
Postage,30,Nefferbank,Neffstorage,1575754759
Postage,120,Nefferbank,Neffbankherb,1575760669
Repair Bill,16023,Merchant,Neffer,1575767828
Postage,150,Nefferbank,Neffer,1575767898
Postage,30,Confused,Neffstorage,1575804809
Postage,30,Confused,Neffer,1575805456
Postage,30,Nefferbank,Confused,1575808971
Postage,30,Nefferbank,Neffer,1575805449
Postage,60,Nefferbank,Neffer,1575761261
Repair Bill,12801,Merchant,Neffer,1575493173
Money Transfer,1600000,Neffer,Nefferbank,1575485356
Postage,30,Nefferbank,Neffstorage,1575820662
Postage,30,Nefferbank,Neffer,1575821579
Postage,30,Krono,Neffer,1575822376
Postage,30,Neffbankherb,Nefferbank,1575831037
Repair Bill,10071,Merchant,Neffer,1575842061
Repair Bill,733,Merchant,Neffer,1575844661
Postage,90,Nefferbank,Confused,1575847949
Repair Bill,57011,Merchant,Neffer,1575841635
Postage,90,Neffbankench,Neffer,1575918858
Postage,30,Pykkles,Neffer,1575918803
Repair Bill,28544,Merchant,Neffer,1575926227
Postage,30,Neffstorage,Neffer,1575933479
Repair Bill,6125,Merchant,Neffer,1575938739
Postage,30,Neffstorage,Neffer,1575938915
Postage,30,Nefferbank,Neffer,1575939309
Postage,150,Neffstorage,Neffer,1575939317
Postage,30,Nefferbank,Confused,1576005170
Postage,30,Confused,Nefferbank,1576008383
Postage,120,Nefferbank,Neffer,1575938923
Postage,60,Neffbankench,Neffer,1575938911
Postage,120,Neffstorage,Neffbankherb,1576015124
Postage,30,Neffstorage,Confused,1576015634
Postage,150,Confused,Neffstorage,1576024442
Postage,30,Nefferbank,Neffer,1576092061
Postage,60,Neffbankench,Neffer,1576092183
Repair Bill,976,Merchant,Neffer,1576107270
Postage,30,Neffbankherb,Neffer,1576107291
Money Transfer,2200000,Neffer,Nefferbank,1576103051
Postage,30,Neffer,Nefferbank,1576166140
Postage,60,Nefferbank,Confused,1576171312
Postage,30,Neffbankench,Neffer,1576175246
Postage,30,Neffbankench,Neffer,1576176026
Postage,30,Frozbank,Neffer,1576187469
Postage,30,Confused,Neffer,1576188403
Postage,30,Neffstorage,Neffer,1576188425
Postage,240,Nefferbank,Confused,1576197552
Postage,270,Nefferbank,Confused,1576199684
Repair Bill,713,Merchant,Neffer,1576262944
Postage,30,Nefferbank,Neffer,1576273652
Postage,90,Neffbankfish,Neffer,1576274959
Postage,30,Horsecack,Neffer,1576282092
